character,kangxi_strokes,source
为,12,zdic.net
举,18,zdic.net
乒,12,zdic.net
乓,14,zdic.net
乡,17,zdic.net
伙,14,zdic.net
伪,14,zdic.net
你,7,zdic.net
侣,9,zdic.net
值,10,zdic.net
傣,12,zdic.net
僳,14,zdic.net
册,6,zdic.net
剁,8,zdic.net
剿,16,zdic.net
匆,11,zdic.net
叁,3,zdic.net
叼,5,zdic.net
吕,7,zdic.net
告,7,zdic.net
咒,8,zdic.net
咕,8,zdic.net
咖,8,zdic.net
哎,16,zdic.net
哟,12,zdic.net
啤,11,zdic.net
啥,11,zdic.net
啦,12,zdic.net
啪,8,zdic.net
喳,12,zdic.net
喻,12,zdic.net
嚏,10,zdic.net
嚷,6,zdic.net
垃,8,zdic.net
垮,9,zdic.net
埔,10,zdic.net
填,13,zdic.net
奶,17,zdic.net
尚,8,zdic.net
屡,14,zdic.net
履,15,zdic.net
并,8,zdic.net
律,9,zdic.net
惦,11,zdic.net
慎,14,zdic.net
掠,11,zdic.net
搁,12,zdic.net
搽,12,zdic.net
撂,14,zdic.net
撵,15,zdic.net
教,11,zdic.net
整,14,zdic.net
旅,10,zdic.net
既,11,zdic.net
某,9,zdic.net
概,15,zdic.net
橱,15,zdic.net
氖,6,zdic.net
氟,9,zdic.net
氢,11,zdic.net
氦,8,zdic.net
氧,15,zdic.net
氨,10,zdic.net
氮,12,zdic.net
氯,12,zdic.net
氰,12,zdic.net
污,7,zdic.net
清,12,zdic.net
溉,15,zdic.net
滤,19,zdic.net
炸,9,zdic.net
烤,18,zdic.net
烩,17,zdic.net
煮,25,zdic.net
熔,18,zdic.net
玄,5,zdic.net
珐,12,zdic.net
甩,5,zdic.net
甭,12,zdic.net
略,11,zdic.net
瘩,11,zdic.net
癌,12,zdic.net
瞄,13,zdic.net
瞅,14,zdic.net
矽,11,zdic.net
研,11,zdic.net
砷,10,zdic.net
砸,24,zdic.net
硒,11,zdic.net
碗,11,zdic.net
碘,13,zdic.net
碰,13,zdic.net
碳,14,zdic.net
碴,14,zdic.net
礁,15,zdic.net
筷,13,zdic.net
简,18,zdic.net
绦,12,zdic.net
绪,15,zdic.net
缕,17,zdic.net
翱,18,zdic.net
耪,16,zdic.net
腺,13,zdic.net
舱,15,zdic.net
蓖,16,zdic.net
蘑,19,zdic.net
虐,9,zdic.net
虑,10,zdic.net
褂,12,zdic.net
账,11,zdic.net
趴,9,zdic.net
跺,13,zdic.net
蹦,18,zdic.net
蹿,19,zdic.net
郎,14,zdic.net
酚,11,zdic.net
酞,11,zdic.net
醚,17,zdic.net
钙,12,zdic.net
钵,13,zdic.net
铝,15,zdic.net
铱,11,zdic.net
锨,8,zdic.net
镁,17,zdic.net
镍,18,zdic.net
颓,13,zdic.net
颜,18,zdic.net
饮,13,zdic.net
驴,26,zdic.net
𠀀,2,zdic.net
𱁬,84,zdic.net
